,userName,score,at,content,clean_teks,polarity_score,polarity
0,Kayna Adiva,1,2023-10-31T17:01:24.000,"Saya rank legend 5 malah terus bertemu musuh yang sudah legend 1/2. Dan itu pasti membuat saya kalah, di tim musuh semuanya sangatlah jago dan kompak, sedangkan tm sendiri sama sekali tidak kompak dan jago. Saya sudah lelah losetreak akibat draft yang tidak sesuai. Apalagi jika saya tiba-tiba bertemu penjoki. Dan ketika bermain pasti ping selalu jumping, yang membuat saya terpaksa afk. Apalagi sekarang banyak sekali bug akibat update. Tolong diperbaiki.","peringkat,legend,temu,musuh,legend,kalah,tim,musuh,jago,kompak,tm,kompak,jago,lelah,losetreak,akibat,draft,sesuai,tiba,temu,joki,main,ping,loncat,paksa,afk,bug,akibat,terbaru,tolong,baik",-6,negative
1,kasfy nisya,4,2023-11-03T10:00:36.000,"Bagus, cuman kadang dlm pertandingan ga seimbang,, apalagi kalau solo rank. sehingga sulit untuk melakukan perlawanan dengan maksimal, karna tidak adanya penyaringan level sebelum pertandingan. Biarpun cara dan taktiknya bagus, tapi kalau perbedaan levelx jauh berbeda dan hanya ada slh satunya aja yg levelx SM dgn lwn, maka akan sulit untuk mem push.","bagus,cuman,kadang,dlm,tanding,tidak,imbang,solo,peringkat,sulit,lawan,maksimal,karena,nyaring,level,tanding,biarpun,taktik,bagus,beda,levelx,beda,slh,satu,saja,levelx,sm,dengan,lawan,sulit,mem,push",-15,negative
2,Sun thin Then,1,2023-10-29T15:10:42.000,"Gamenya sih udah bagus bgt, grafiknya mantap, backsound mantap, dan mekanisme gamenya juga mudah. Tapi ada kekurangan dari game ini yaitu sistem matchmaking yg tidak adil dimana kita yg masih dirank bawah ketemu lawan rank tinggi mohon diperbaiki moonton 🙏","game,sih,sudah,bagus,banget,grafik,mantap,backsound,mantap,mekanisme,game,mudah,kurang,game,sistem,matchmaking,adil,mana,dirank,ketemu,lawan,peringkat,mohon,baik,moonton,",12,positive
3,Star space,1,2023-10-29T11:50:33.000,Game nya sudah bagus tetapi ada beberapa masalah yang meresahkan yaitu dark sistem katanya udah di hapus kok masih ada tu yang namanya dark sistem kedua pembagian tin tidak masuk akal musuh/enemy itu rank nya tingkat atas sedangkan tim sendiri tingkat bawah sangat tidak adil,"game,bagus,resah,dark,sistem,sudah,hapus,tu,nama,dark,sistem,bagi,tin,masuk,akal,musuhenemy,peringkat,tingkat,tim,tingkat,adil",-18,negative
4,Abdul Ghani Rossyidi,3,2023-10-29T20:25:49.000,"Untuk event2 sdah oke lah. Tapi tolong prioritaskan kenyamanan dalam bermain dulu, terutama masalah ""JARINGAN"". Makin aneh, ping tiba2 merah dan gk bisa gerak alias delay hampir 5 detik. Pls fix dulu masalah jaringan.","event,sdah,oke,tolong,prioritas,nyaman,main,jaringan,aneh,ping,merah,tidak,gerak,alias,delay,detik,tolong,memperbaiki,jaringan",-7,negative
5,Maulana Dwi cahyono,4,2023-10-25T07:55:37.000,"Saya hanya ingin memberikan beberapa keluhan,meskipun game nya seru tapi untuk frame nya sedikit di turunkan agar pengalaman bermain lebih baik,dan basis nya sih sudah oke tetapi ada sedikit masalah di optimasi jaringan,mekipun optimasi jaringan hidup tapi tidak memungkinkan untuk terjadinya lag dsb jadi mohon di optimalkan kembali fitur optimasi tersebut,sudah itu aja ,fitur yang lain udah oke sih","keluhanmeskipun,game,seru,frame,turun,alam,main,baikdan,basis,sih,oke,optimasi,jaringanmekipun,optimasi,jaringan,hidup,lag,dsb,mohon,optimal,fitur,optimasi,tersebutsudah,saja,fitur,sudah,oke,sih",0,neutral
6,Sandy AF,3,2023-10-30T14:26:38.000,"Sistem match kurang sesuai dengan lawan ataupun kawan main sehingga terkadang menemukan lawan atau tim yg tidak seimbang. Sebaiknya di kolom pesan diberikan saran atau pesan untuk pihak developer sehingga pemain bisa memberikan saran untuk moonton terkait game nya yg masih terbilang banyak yg kurang (bug, cheat, sistem match yg tidak sesuai, sistem lose streak & win streak, dsb). Chuaakkzz","sistem,match,sesuai,lawan,kawan,main,terkadang,temu,lawan,tim,imbang,kolom,pesan,saran,pesan,developer,main,saran,moonton,kait,game,bilang,bug,cheat,sistem,match,sesuai,sistem,kalah,beruntun,win,beruntun,dsb,chuaakkzz",-23,negative
7,alif zulfikar,1,2023-10-31T19:13:40.000,"Setelah update kok makin gk jelas PING nya. Sering nge freeze, game ke log out. Makin gk jelas. Masalah dari dulu gk pernah selesai, permasalahan utama mu pasti jumping PING, lag. Mohon diperbaiki lagi","terbaru,tidak,ping,nge,freeze,game,log,keluar,tidak,tidak,selesai,masalah,utama,mu,loncat,ping,lag,mohon,baik",-12,negative
8,Riko Novianto,3,2023-10-27T12:49:47.000,"Overall game ini udah bagus tetapi yg jadi permasalahan dari dulu sampai sekarang itu dibagian sinyalnya yg suka drop secara tiba"" setelah update kemarin.Harapan saya Moonton dapat menambahkan map baru yg dimana dari segi creep jungle,bebatuan,dan semak semua nya dilakukan perubahan agar gameplay dan rotasi di dalam game tidak terlalu monoton dan yg pasti dengan perubahan tersebut membuat player old dan baru lebih bersemangat lagi untuk bermain karena adanya hal"" baru yg bisa dicoba thx for dev.","keseluruhan,game,sudah,bagus,masalah,bagi,sinyal,suka,drop,terbaru,kemarinharapan,moonton,map,mana,segi,creep,junglebebatuandan,semak,ubah,gameplay,rotasi,game,monoton,ubah,player,old,semangat,main,coba,terima kasih,for,developer",5,positive
9,EXELSIDEO PUTUNG,5,2023-10-29T18:01:37.000,"Mobile legends ❤️ Game yang menarik dan sangat bagus 😍 saya bermain dari awal seasion 1, game ini sangat saya sukai. Tapi semua berubah sejak update sering ngelag padahal sudah di nyalain kedua jaringan dan dengan wifi. Kecewa juga dgn akun² gb maupun push mmr, rank. Dan tim yang tidak setara dengan skill kita, maupun musuh atau teman. Dulunya game ini sangat saya sukai, tapi tidak dengan sekarang ☺️ jika masalah² diatas tidak segera di respon, maka akan semakin berkurang player mobile legends","seluler,legenda,,game,tarik,bagus,,main,seasion,game,suka,ubah,terbaru,lelet,nyala,jaringan,wifi,kecewa,dengan,akun,gb,push,mmr,peringkat,tim,tara,skill,musuh,teman,dulunya,game,suka,,masalah,atas,respon,kurang,player,seluler,legenda",-2,negative
